tids,name
1,Abarth
2,AC
3,Acura
4,Aixam
5,Alfa Romeo
6,Alpine
7,AM General
8,Asia
9,Aston Martin
10,Audi
11,Austin
12,Bentley
13,BMW
14,Vanderhall
15,Bristol
16,Bugatti
17,Buick
18,Byton
19,Cadillac
20,Caterham
21,Chevrolet
22,Chrysler
23,CitroÃ«n
24,Coleman Milne
25,Corvette
26,Cupra
27,Dacia
28,Daewoo
29,Daihatsu
30,Daimler
31,De Tomaso
32,DFSK
33,Dodge
34,DS
35,Eagle
36,Farbio
37,FBS
38,Ferrari
39,Fiat
40,Fisker
41,Ford
42,Freightliner
43,FSO
44,Genesis
45,Geo
46,GMC
47,Harley Davidson
48,Honda
49,HUMMER
50,Hyundai
51,INFINITI
52,Invicta
53,Isuzu
54,IVECO
55,Jaguar
56,Jeep
57,Jensen
58,Karma
59,Kawazaki
60,Kenworth
61,Kia
62,KTM
63,Lada
64,Lamborghini
65,Lancia
66,Land Rover
67,LDV
68,LEVC
69,Lexus
70,Ligier
71,Lincoln
72,Lotus
73,LTI
74,Lucid
75,MACK
76,MAHINDRA
77,MAN
78,Marcos
79,Marlin
80,Maserati
81,Maybach
82,Mazda
83,McLaren
84,Mercedes-Benz
85,Mercury
86,MG
87,Westfield
88,MIA
89,Microcar
90,MINI
91,Mitsubishi
92,MOKE
93,Morgan
94,Nissan
95,Noble
96,Oldsmobile
97,Opel
98,Panoz
99,Perodua
100,Peugeot
101,PGO
102,Plymouth
103,Polestar
104,Pontiac
105,Porsche
106,Proton
107,Ram
108,Reliant
109,Renault
110,Rivian
111,Rolls-Royce
112,Rover
113,Saab
114,San
115,SAO
116,Saturn
117,Scion
118,SEAT
119,Skoda
120,Slingshot
121,Yugo
122,Smart
123,Spyker
124,SsangYong
125,Subaru
126,Suzuki
127,Talbot
128,Tata
129,TD Cars
130,Tesla
131,Toyota
132,TVR
133,Vauxhall
134,VinFast
135,Volkswagen
136,Volvo
